 knr | flugnr |   datum    |  preis  
-----+--------+------------+---------
   1 | LH-100 | 2018-01-10 | $100.00
   5 | LH-102 | 2018-04-10 | $100.00
   6 | LH-104 | 2018-07-10 | $100.00
   1 | LH-100 | 2018-02-10 | $100.00
   2 | LH-100 | 2018-01-10 | $100.00
   3 | LH-100 | 2018-01-10 | $100.00
   1 | LH-105 | 2018-01-10 | $105.00
   1 | LH-200 | 2018-01-10 | $200.00
   2 | LH-100 | 2018-02-10 | $100.00
   2 | LH-100 | 2018-03-10 | $100.00
   2 | LH-100 | 2018-04-10 | $100.00
   2 | LH-100 | 2018-05-10 | $100.00
   2 | LH-100 | 2018-06-10 | $100.00
   2 | LH-100 | 2018-07-10 | $100.00
   2 | LH-100 | 2018-08-10 | $100.00
